episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
1,daily_file,warmup,1,,22.573,14.422,4.565,113524,0,8192,4,0,0,1,0,1,464,0.0,0,1,0,0,0
2,daily_hash,warmup,1,,18.244,13.296,3.085,115860,0,4096,4,0,0,1,0,2,555,0.0,0,1,0,0,0
3,daily_http,warmup,1,,38.105,32.629,6.342,115920,0,4096,5,0,0,1,0,3,663,0.0,0,1,0,0,0
4,daily_state,warmup,1,,7.284,2.592,0.924,115928,0,4096,4,0,0,1,0,4,758,0.0,0,1,0,0,0
5,daily_file,warmup,1,,6.89,3.025,0.086,115936,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
6,daily_hash,warmup,1,,20.774,14.811,0.108,115952,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
7,daily_http,warmup,1,,17.773,4.463,11.129,115964,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
8,daily_state,warmup,1,,6.907,2.96,0.0,115968,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
9,daily_file,warmup,1,,6.853,2.961,0.0,115968,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
10,daily_hash,warmup,1,,16.293,10.294,4.885,117724,0,4096,1,0,0,0,0,4,759,0.0,0,1,0,0,0
11,daily_http,warmup,1,,9.367,6.258,0.0,115976,0,4096,1,0,0,0,0,4,760,0.0,0,1,0,0,0
12,daily_state,warmup,1,,7.528,0.383,3.122,115980,0,4096,1,0,0,0,0,4,761,0.0,0,1,0,0,0
13,novel_00,novel,1,,6.683,2.298,0.31,115980,0,4096,5,0,0,2,1,5,920,1.0,1,1,0,0,0
14,novel_01,novel,1,,8.809,2.078,3.913,115988,0,4096,5,0,0,1,1,6,1028,1.0,1,1,0,0,0
15,novel_02,novel,1,,17.983,5.549,10.351,118320,0,4096,4,0,0,1,1,7,1122,1.0,1,1,0,0,0
16,novel_03,novel,1,,6.984,0.328,2.734,116008,0,4096,3,0,0,1,1,7,1157,1.0,1,1,0,0,0
17,novel_04,novel,1,,7.467,0.071,3.582,116008,0,4096,4,0,0,1,1,7,1168,1.0,1,1,0,0,0
