episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
36,novel_23,novel,1,,15.494,11.659,0.0,116288,0,4096,2,0,0,1,5,7,1653,1.4,2,1,0,0,0
37,novel_24,novel,1,,15.072,10.879,0.332,116292,0,4096,2,0,0,1,5,7,1660,1.4,2,1,0,0,0
38,novel_00,repeat,1,,14.637,8.127,2.671,116292,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
39,novel_01,repeat,1,,16.558,9.712,3.599,116300,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
40,novel_02,repeat,1,,24.685,13.624,11.97,120464,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
41,novel_03,repeat,1,,19.898,14.493,0.0,116312,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
42,novel_04,repeat,1,,14.091,10.389,0.0,116312,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
43,novel_05,repeat,1,,14.269,10.535,0.0,116312,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
44,novel_06,repeat,1,,16.66,13.356,0.0,116316,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
45,novel_07,repeat,1,,25.801,17.335,6.603,118644,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
46,novel_08,repeat,1,,14.122,10.265,0.0,116332,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
47,novel_09,repeat,1,,15.488,11.968,0.0,116332,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
48,novel_10,repeat,1,,15.536,11.873,0.0,116332,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
49,novel_11,repeat,1,,17.645,14.163,0.0,116332,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
50,daily_file,drift,1,,15.418,5.387,6.434,116332,0,4096,1,0,1,2,6,7,1707,1.667,3,1,0,0,0
51,daily_http,drift,1,,18.606,14.199,1.694,116336,0,4096,1,0,1,1,6,7,1709,1.667,3,1,0,0,0
52,daily_hash,drift,1,,25.008,24.875,1.857,118900,0,4096,1,0,1,1,6,7,1708,1.667,3,1,0,0,0
53,tail_0,evict,1,,16.565,7.513,5.431,116340,0,4096,1,0,0,1,6,7,1715,1.667,3,1,0,0,0
54,tail_1,evict,1,,19.022,13.619,2.359,116340,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
55,tail_2,evict,1,,28.53,20.401,7.177,118124,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
56,tail_3,evict,1,,19.534,12.023,3.802,116348,0,4096,2,0,0,2,7,7,1784,1.857,3,1,0,0,0
57,tail_4,evict,1,,19.222,15.311,0.039,116352,0,8192,2,0,0,2,8,7,1801,1.875,3,1,0,0,0
58,tail_5,evict,1,,20.616,8.737,8.137,116356,0,4096,1,0,0,1,8,7,1805,1.875,3,1,0,0,0
59,tail_6,evict,1,,29.609,20.131,5.54,116356,0,4096,1,0,0,1,8,7,1830,1.875,3,1,0,0,0
60,daily_http,ancestral,1,,24.005,16.888,3.664,116364,0,4096,2,1,0,1,8,7,1835,1.875,3,1,0,0,0
61,daily_http,post_recovery,1,,22.526,14.556,4.752,116368,0,4096,1,0,0,0,8,7,1835,1.875,3,1,0,0,0
62,daily_file,ancestral,1,,20.072,14.373,1.691,116368,0,4096,2,1,0,1,8,7,1815,1.875,3,1,0,0,0
63,daily_file,post_recovery,1,,20.507,16.044,0.815,116368,0,4096,1,0,0,0,8,7,1815,1.875,3,1,0,0,0
64,daily_hash,ancestral,1,,34.89,27.796,2.0,118688,0,4096,2,1,0,1,8,7,1813,1.875,3,1,0,0,0
65,daily_hash,post_recovery,1,,30.957,27.122,4.659,118364,0,4096,1,0,0,0,8,7,1813,1.875,3,1,0,0,0
