episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
1,daily_file,warmup,1,,22.108,14.849,4.204,113676,0,8192,4,0,0,1,0,1,464,0.0,0,1,0,0,0
2,daily_hash,warmup,1,,19.201,11.148,7.032,116012,0,4096,4,0,0,1,0,2,555,0.0,0,1,0,0,0
3,daily_http,warmup,1,,43.941,15.263,22.497,116104,0,4096,5,0,0,1,0,3,663,0.0,0,1,0,0,0
4,daily_state,warmup,1,,7.368,1.127,2.409,116116,0,4096,4,0,0,1,0,4,758,0.0,0,1,0,0,0
5,daily_file,warmup,1,,7.504,0.0,3.729,116124,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
6,daily_hash,warmup,1,,18.2,12.869,5.949,118456,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
7,daily_http,warmup,1,,10.702,6.781,0.855,116156,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
8,daily_state,warmup,1,,8.612,2.171,2.475,116156,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
9,daily_file,warmup,1,,7.763,0.712,3.485,116156,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
10,daily_hash,warmup,1,,17.05,8.957,8.115,120180,0,4096,1,0,0,0,0,4,759,0.0,0,1,0,0,0
11,daily_http,warmup,1,,9.839,6.836,0.05,116164,0,4096,1,0,0,0,0,4,760,0.0,0,1,0,0,0
12,daily_state,warmup,1,,7.296,0.0,3.119,116168,0,4096,1,0,0,0,0,4,761,0.0,0,1,0,0,0
13,novel_00,novel,1,,7.135,0.0,3.194,116168,0,4096,5,0,0,2,1,5,920,1.0,1,1,0,0,0
14,novel_01,novel,1,,9.41,0.0,7.405,116184,0,4096,5,0,0,1,1,6,1028,1.0,1,1,0,0,0
15,novel_02,novel,1,,18.866,14.287,3.08,118516,0,4096,4,0,0,1,1,7,1122,1.0,1,1,0,0,0
16,novel_03,novel,1,,7.583,0.0,3.95,116204,0,4096,3,0,0,1,1,7,1157,1.0,1,1,0,0,0
17,novel_04,novel,1,,7.132,2.877,0.423,116204,0,4096,4,0,0,1,1,7,1168,1.0,1,1,0,0,0
18,novel_05,novel,1,,7.981,4.01,0.078,116204,0,4096,3,0,0,1,1,7,1179,1.0,1,1,0,0,0
19,novel_06,novel,1,,10.933,4.655,3.159,116212,0,4096,5,0,0,2,2,7,1267,1.0,1,1,0,0,0
20,novel_07,novel,1,,19.746,4.031,14.033,118536,0,4096,4,0,0,1,2,7,1271,1.0,1,1,0,0,0
21,novel_08,novel,1,,11.373,7.109,0.486,116220,0,4096,3,0,0,1,2,7,1284,1.0,1,1,0,0,0
22,novel_09,novel,1,,9.395,3.194,2.458,116224,0,4096,2,0,0,1,2,7,1291,1.0,1,1,0,0,0
23,novel_10,novel,1,,10.473,6.671,0.0,116224,0,4096,3,0,0,2,3,7,1338,1.333,2,1,0,0,0
24,novel_11,novel,1,,12.541,8.467,1.51,116236,0,4096,3,0,0,1,3,7,1373,1.333,2,1,0,0,0
25,novel_12,novel,1,,20.886,10.536,12.625,119652,0,4096,4,0,0,2,4,7,1453,1.25,2,1,0,0,0
26,novel_13,novel,1,,12.948,10.865,0.644,116244,0,4096,2,0,0,1,4,7,1466,1.25,2,1,0,0,0
27,novel_14,novel,1,,11.751,7.896,0.143,116244,0,4096,2,0,0,1,4,7,1473,1.25,2,1,0,0,0
28,novel_15,novel,1,,12.062,8.203,0.09,116244,0,8192,2,0,0,1,4,7,1484,1.25,2,1,0,0,0
29,novel_16,novel,1,,14.366,11.567,0.0,116260,0,4096,3,0,0,2,5,7,1566,1.4,2,1,0,0,0
30,novel_17,novel,1,,23.797,14.802,7.48,118452,0,4096,1,0,0,1,5,7,1570,1.4,2,1,0,0,0
31,novel_18,novel,1,,14.779,9.805,0.0,116272,0,4096,2,0,0,1,5,7,1583,1.4,2,1,0,0,0
32,novel_19,novel,1,,13.427,6.501,3.258,116272,0,4096,2,0,0,1,5,7,1590,1.4,2,1,0,0,0
33,novel_20,novel,1,,14.498,8.699,2.049,116276,0,4096,2,0,0,1,5,7,1601,1.4,2,1,0,0,0
34,novel_21,novel,1,,17.068,7.868,5.405,116276,0,4096,1,0,0,1,5,7,1636,1.4,2,1,0,0,0
35,novel_22,novel,1,,27.209,22.963,3.999,118336,0,4096,1,0,0,1,5,7,1640,1.4,2,1,0,0,0
