stage,stage_name,semantic_total,stateless_semantic,template_semantic,checkpoint_semantic,vs_stateless_reduction,vs_template_reduction,vs_checkpoint_reduction
0,canary_core,33,96,33,33,0.65625,0.0,0.0
1,single_user_alpha,103,348,106,106,0.7040229885057472,0.028301886792452824,0.028301886792452824
2,connected_alpha,132,348,256,256,0.6206896551724138,0.484375,0.484375
3,compositional_beta,172,723,531,531,0.7621023513139695,0.6760828625235404,0.6760828625235404
4,resilience_beta,67,286,273,249,0.7657342657342657,0.7545787545787546,0.7309236947791165
5,release_candidate,324,1366,370,370,0.7628111273792093,0.12432432432432428,0.12432432432432428
