run,stage,stage_name,episodes,success_rate,semantic_mean,planner_p95_ms,consolidation_p95_ms,permanent_end,provisional_end,description_reduction,fused_microcode_bytes
3,0,canary_core,24,1,1.375,0.0150324,0.0099101,0,0,0.0,18
3,1,single_user_alpha,84,1,1.22619,0.0657044,0.0534633,1,6,0.097561,49
3,2,connected_alpha,72,1,1.83333,0.185255,2.06037,14,20,0.465201,203
3,3,compositional_beta,144,1,1.19444,0.472918,18.0424,21,20,0.653439,418
3,4,resilience_beta,60,1,1.11667,0.530516,24.1569,22,15,0.687247,514
3,5,release_candidate,324,1,1.0,0.191323,0.00083895,22,20,0.693117,538
4,0,canary_core,24,1,1.375,0.0144093,0.0093065,0,0,0.0,18
4,1,single_user_alpha,84,1,1.22619,0.073146,0.0561261,1,6,0.097561,49
4,2,connected_alpha,72,1,1.83333,0.188022,2.06088,14,20,0.465201,203
4,3,compositional_beta,144,1,1.19444,0.488804,18.4344,21,20,0.653439,418
4,4,resilience_beta,60,1,1.11667,0.624096,27.4146,22,15,0.687247,514
4,5,release_candidate,324,1,1.0,0.259015,0.00092215,22,20,0.693117,538
5,0,canary_core,24,1,1.375,0.0256578,0.00887965,0,0,0.0,18
5,1,single_user_alpha,84,1,1.22619,0.0692539,0.0552267,1,6,0.097561,49
5,2,connected_alpha,72,1,1.83333,0.281696,2.29828,14,20,0.465201,203
5,3,compositional_beta,144,1,1.19444,0.506628,18.0382,21,20,0.653439,418
5,4,resilience_beta,60,1,1.11667,0.615364,24.4454,22,15,0.687247,514
5,5,release_candidate,324,1,1.0,0.228929,0.0004921,22,20,0.693117,538
6,0,canary_core,24,1,1.375,0.0234166,0.0083803,0,0,0.0,18
6,1,single_user_alpha,84,1,1.22619,0.0680289,0.053577,1,6,0.097561,49
6,2,connected_alpha,72,1,1.83333,0.190418,2.06495,14,20,0.465201,203
6,3,compositional_beta,144,1,1.19444,0.496459,18.668,21,20,0.653439,418
6,4,resilience_beta,60,1,1.11667,0.586727,24.2583,22,15,0.687247,514
6,5,release_candidate,324,1,1.0,0.191248,0.0009779,22,20,0.693117,538
