episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
1,daily_file,warmup,1,,24.33,16.519,4.131,113572,0,8192,4,0,0,1,0,1,464,0.0,0,1,0,0,0
2,daily_hash,warmup,1,,17.25,9.228,7.326,115572,0,4096,4,0,0,1,0,2,555,0.0,0,1,0,0,0
3,daily_http,warmup,1,,36.106,22.466,14.424,116008,0,4096,5,0,0,1,0,3,663,0.0,0,1,0,0,0
4,daily_state,warmup,1,,7.935,0.153,3.603,116020,0,4096,4,0,0,1,0,4,758,0.0,0,1,0,0,0
5,daily_file,warmup,1,,6.935,0.0,3.345,116028,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
6,daily_hash,warmup,1,,18.2,10.663,7.3,118232,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
7,daily_http,warmup,1,,9.736,2.74,3.76,116060,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
8,daily_state,warmup,1,,6.644,2.468,0.342,116060,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
9,daily_file,warmup,1,,7.228,3.478,0.0,116060,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
10,daily_hash,warmup,1,,17.787,5.404,10.585,118248,0,4096,1,0,0,0,0,4,759,0.0,0,1,0,0,0
11,daily_http,warmup,1,,9.512,2.579,3.744,116068,0,4096,1,0,0,0,0,4,760,0.0,0,1,0,0,0
12,daily_state,warmup,1,,7.201,3.265,0.086,116072,0,4096,1,0,0,0,0,4,761,0.0,0,1,0,0,0
13,novel_00,novel,1,,6.629,0.408,2.553,116072,0,4096,5,0,0,2,1,5,920,1.0,1,1,0,0,0
14,novel_01,novel,1,,9.736,5.514,1.188,116080,0,4096,5,0,0,1,1,6,1028,1.0,1,1,0,0,0
15,novel_02,novel,1,,27.59,8.891,7.278,118416,0,4096,4,0,0,1,1,7,1122,1.0,1,1,0,0,0
16,novel_03,novel,1,,7.696,1.94,2.107,116104,0,4096,3,0,0,1,1,7,1157,1.0,1,1,0,0,0
17,novel_04,novel,1,,7.181,0.17,3.305,116104,0,4096,4,0,0,1,1,7,1168,1.0,1,1,0,0,0
18,novel_05,novel,1,,9.771,3.167,0.688,116104,0,4096,3,0,0,1,1,7,1179,1.0,1,1,0,0,0
19,novel_06,novel,1,,11.606,8.441,0.233,116116,0,4096,5,0,0,2,2,7,1267,1.0,1,1,0,0,0
20,novel_07,novel,1,,18.839,12.934,5.106,118168,0,4096,4,0,0,1,2,7,1271,1.0,1,1,0,0,0
21,novel_08,novel,1,,8.334,4.477,0.0,116124,0,4096,3,0,0,1,2,7,1284,1.0,1,1,0,0,0
22,novel_09,novel,1,,9.506,4.953,0.448,116128,0,4096,2,0,0,1,2,7,1291,1.0,1,1,0,0,0
23,novel_10,novel,1,,9.062,2.682,2.409,116128,0,4096,3,0,0,2,3,7,1338,1.333,2,1,0,0,0
24,novel_11,novel,1,,13.027,5.401,4.498,116144,0,4096,3,0,0,1,3,7,1373,1.333,2,1,0,0,0
25,novel_12,novel,1,,22.5,18.053,3.477,118464,0,4096,4,0,0,2,4,7,1453,1.25,2,1,0,0,0
26,novel_13,novel,1,,10.624,3.567,3.259,116152,0,4096,2,0,0,1,4,7,1466,1.25,2,1,0,0,0
27,novel_14,novel,1,,10.872,7.108,0.0,116152,0,4096,2,0,0,1,4,7,1473,1.25,2,1,0,0,0
28,novel_15,novel,1,,11.013,6.998,0.0,116152,0,8192,2,0,0,1,4,7,1484,1.25,2,1,0,0,0
29,novel_16,novel,1,,13.901,3.21,7.562,116160,0,4096,3,0,0,2,5,7,1566,1.4,2,1,0,0,0
30,novel_17,novel,1,,34.126,11.345,12.943,119864,0,4096,1,0,0,1,5,7,1570,1.4,2,1,0,0,0
31,novel_18,novel,1,,12.804,8.538,0.45,116172,0,4096,2,0,0,1,5,7,1583,1.4,2,1,0,0,0
32,novel_19,novel,1,,13.299,9.318,0.376,116172,0,4096,2,0,0,1,5,7,1590,1.4,2,1,0,0,0
33,novel_20,novel,1,,13.646,6.806,2.941,116176,0,4096,2,0,0,1,5,7,1601,1.4,2,1,0,0,0
34,novel_21,novel,1,,14.932,4.603,7.315,116176,0,4096,1,0,0,1,5,7,1636,1.4,2,1,0,0,0
35,novel_22,novel,1,,23.955,11.624,11.598,118036,0,4096,1,0,0,1,5,7,1640,1.4,2,1,0,0,0
36,novel_23,novel,1,,14.475,10.739,0.0,116188,0,4096,2,0,0,1,5,7,1653,1.4,2,1,0,0,0
37,novel_24,novel,1,,15.114,7.638,3.694,116192,0,4096,2,0,0,1,5,7,1660,1.4,2,1,0,0,0
38,novel_00,repeat,1,,14.356,6.813,3.755,116192,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
39,novel_01,repeat,1,,16.377,9.93,3.475,116200,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
40,novel_02,repeat,1,,37.745,20.156,22.34,118556,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
41,novel_03,repeat,1,,19.394,11.679,4.35,116212,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
42,novel_04,repeat,1,,18.14,7.037,4.111,116212,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
43,novel_05,repeat,1,,18.535,13.704,0.735,116212,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
44,novel_06,repeat,1,,16.14,12.945,0.135,116216,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
45,novel_07,repeat,1,,32.508,29.324,3.475,116232,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
46,novel_08,repeat,1,,14.365,10.149,1.094,116232,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
47,novel_09,repeat,1,,17.867,13.18,0.572,116232,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
48,novel_10,repeat,1,,14.785,8.914,1.888,116232,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
49,novel_11,repeat,1,,17.53,13.886,0.572,116236,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
50,daily_file,drift,1,,29.126,22.051,3.068,116236,0,4096,1,0,1,2,6,7,1707,1.667,3,1,0,0,0
51,daily_http,drift,1,,17.901,11.056,3.824,116236,0,4096,1,0,1,1,6,7,1709,1.667,3,1,0,0,0
52,daily_hash,drift,1,,35.144,15.999,11.982,119796,0,4096,1,0,1,1,6,7,1708,1.667,3,1,0,0,0
53,tail_0,evict,1,,16.46,10.759,1.715,116252,0,4096,1,0,0,1,6,7,1715,1.667,3,1,0,0,0
54,tail_1,evict,1,,19.038,16.604,0.022,116252,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
55,tail_2,evict,1,,26.319,15.883,10.217,118128,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
56,tail_3,evict,1,,17.623,9.891,4.049,116252,0,4096,2,0,0,2,7,7,1784,1.857,3,1,0,0,0
57,tail_4,evict,1,,19.533,16.034,0.0,116260,0,8192,2,0,0,2,8,7,1801,1.875,3,1,0,0,0
58,tail_5,evict,1,,20.111,16.35,0.0,116260,0,4096,1,0,0,1,8,7,1805,1.875,3,1,0,0,0
59,tail_6,evict,1,,22.803,12.801,6.979,116264,0,4096,1,0,0,1,8,7,1830,1.875,3,1,0,0,0
60,daily_http,ancestral,1,,24.571,21.197,0.258,116272,0,4096,2,1,0,1,8,7,1835,1.875,3,1,0,0,0
61,daily_http,post_recovery,1,,27.831,15.619,7.997,116272,0,4096,1,0,0,0,8,7,1835,1.875,3,1,0,0,0
62,daily_file,ancestral,1,,20.507,14.018,2.816,116272,0,4096,2,1,0,1,8,7,1815,1.875,3,1,0,0,0
63,daily_file,post_recovery,1,,20.96,12.677,4.376,116272,0,4096,1,0,0,0,8,7,1815,1.875,3,1,0,0,0
64,daily_hash,ancestral,1,,31.955,18.85,12.379,118632,0,4096,2,1,0,1,8,7,1813,1.875,3,1,0,0,0
65,daily_hash,post_recovery,1,,43.325,32.686,14.723,119416,0,4096,1,0,0,0,8,7,1813,1.875,3,1,0,0,0
