family,pass,event,coordinate,current_index,candidate_index,current_cost,candidate_cost,delta,wins,theta
online_file,0,probe,read_chunk,3,2,55.4857,56.3493,0.863593,2,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_file,0,probe,read_chunk,3,4,55.7264,56.2597,0.53333,2,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_file,0,probe,write_chunk,1,0,55.4684,55.6435,0.175087,2,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_file,0,probe,write_chunk,1,2,55.0492,56.3843,1.33507,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_file,0,probe,summary_impl,1,0,65.1444,129.109,63.9649,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_file,0,certified,ALL,-1,-1,0,0,0,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
online_http,0,probe,write_chunk,0,1,10.2031,9.87698,-0.326161,3,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
online_http,0,probe,socket_chunk,2,1,9.83845,10.565,0.726602,1,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
online_http,0,probe,socket_chunk,2,3,10.5617,10.8945,0.332831,2,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
online_http,0,probe,summary_impl,1,0,10.3018,11.5627,1.26082,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
online_http,0,certified,ALL,-1,-1,0,0,0,0,r=256;w=128;s=512;sum=1;ext=0;proc=0;timer=800
online_proc,0,probe,read_chunk,1,0,1.31978,1.47835,0.158576,3,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_proc,0,probe,read_chunk,1,2,1.28141,1.40418,0.122763,2,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_proc,0,probe,write_chunk,1,0,1.34599,1.39741,0.051421,2,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_proc,0,probe,write_chunk,1,2,1.40005,1.62322,0.223175,1,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_proc,0,probe,summary_impl,0,1,1.377,1.56339,0.186389,2,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_proc,0,certified,ALL,-1,-1,0,0,0,0,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
online_hash,0,probe,write_chunk,1,0,23.498,24.1322,0.634249,2,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
online_hash,0,probe,write_chunk,1,2,24.2959,24.3677,0.071852,2,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
online_hash,0,probe,summary_impl,1,0,25.2565,24.6218,-0.634784,4,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
online_hash,0,probe,process_impl,1,0,24.4164,28.2262,3.80981,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
online_hash,0,certified,ALL,-1,-1,0,0,0,0,r=256;w=256;s=256;sum=1;ext=0;proc=1;timer=800
online_timer,0,probe,write_chunk,0,1,3.7962,4.43229,0.636085,2,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
online_timer,0,probe,summary_impl,1,0,3.94616,3.65172,-0.294439,2,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
online_timer,0,probe,timer_quantum,4,3,3.83737,4.16409,0.326724,1,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
online_timer,0,probe,timer_quantum,4,5,3.84539,3.7452,-0.100195,3,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
online_timer,0,certified,ALL,-1,-1,0,0,0,0,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50
