cap,semantic_total,semantic_reduction_vs_baseline,learn_ms,final_provisional,admitted,expired
2,203,0.051401869158878455,141.16,2,5,0
4,196,0.08411214953271029,163.241,4,8,1
6,186,0.13084112149532712,167.07,6,12,1
8,183,0.1448598130841121,150.241,8,14,1
10,181,0.15420560747663548,152.836,10,16,1
12,179,0.16355140186915884,138.867,12,18,1
16,169,0.21028037383177567,154.108,16,24,1
20,166,0.22429906542056077,149.309,20,29,1
24,166,0.22429906542056077,144.02,24,33,1
32,166,0.22429906542056077,158.925,32,41,1
