kind,name,length,sequence
committed,d001,3,transform.summarize|fs.write|notify.send
committed,d002,4,transform.extract|transform.summarize|fs.write|notify.send
committed,d003,5,http.request|transform.extract|transform.summarize|state.write|notify.send
committed,d004,3,transform.extract|transform.summarize|fs.write
committed,d005,5,fs.read|transform.summarize|ipc.request|state.write|notify.send
committed,d006,5,proc.observe|transform.extract|transform.summarize|ipc.request|fs.write
committed,d007,5,http.request|transform.extract|ipc.request|transform.summarize|fs.write
committed,d008,5,timer.observe|state.read|transform.summarize|fs.write|notify.send
committed,d009,5,fs.read|transform.extract|transform.summarize|fs.write|notify.send
committed,d010,4,process.run|transform.extract|transform.summarize|fs.write
committed,d011,5,state.read|transform.extract|transform.summarize|fs.write|notify.send
provisional,p002,2,fs.write|notify.send
provisional,p003,2,transform.summarize|fs.write
provisional,p006,2,transform.extract|transform.summarize
provisional,p008,2,fs.read|transform.summarize
provisional,p009,2,transform.summarize|ipc.request
provisional,p010,2,state.read|transform.summarize
provisional,p011,2,http.request|transform.extract
provisional,p013,3,http.request|transform.extract|transform.summarize
provisional,p016,2,state.write|notify.send
provisional,p017,3,proc.observe|transform.extract|transform.summarize
provisional,p020,4,fs.read|transform.extract|transform.summarize|fs.write
provisional,p021,3,transform.summarize|state.write|notify.send
provisional,p022,3,process.run|transform.extract|transform.summarize
provisional,p023,4,state.read|transform.extract|transform.summarize|fs.write
provisional,p024,3,fs.read|transform.summarize|ipc.request
provisional,p025,4,http.request|transform.extract|ipc.request|transform.summarize
provisional,p026,4,state.read|transform.summarize|fs.write|notify.send
provisional,p027,3,fs.read|transform.extract|transform.summarize
provisional,p028,2,process.run|transform.extract
provisional,p029,3,state.read|transform.extract|transform.summarize
