episode,task,phase,success,wall_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
1,daily_file,warmup,1,0.145,0.081,0.156,4180,0,8192,4,0,0,1,0,1,92,0.000,0,1
2,daily_hash,warmup,1,12.836,8.489,5.157,4308,0,4096,4,0,0,1,0,2,169,0.000,0,1
3,daily_http,warmup,1,1.607,0.000,1.615,4352,0,4096,5,0,0,1,0,3,265,0.000,0,1
4,daily_state,warmup,1,0.062,0.000,0.069,4352,0,4096,4,0,0,1,0,4,346,0.000,0,1
5,daily_ipc,warmup,1,0.539,0.000,0.527,4356,0,4096,4,0,0,1,0,5,417,0.000,0,1
6,daily_proc,warmup,1,0.101,0.000,0.107,4356,0,4096,4,0,0,1,0,6,501,0.000,0,1
7,daily_timer,warmup,1,2.385,0.000,0.444,4420,0,4096,4,0,0,1,0,7,584,0.000,0,1
8,daily_file,warmup,1,0.183,0.192,0.000,4420,0,4096,1,0,0,0,0,7,584,0.000,0,1
9,daily_hash,warmup,1,12.509,1.747,11.454,4420,0,4096,1,0,0,0,0,7,584,0.000,0,1
10,daily_http,warmup,1,1.143,1.030,0.012,4428,0,4096,1,0,0,0,0,7,585,0.000,0,1
11,daily_state,warmup,1,0.228,0.093,0.141,4428,0,4096,1,0,0,0,0,7,586,0.000,0,1
12,daily_ipc,warmup,1,0.470,0.186,0.283,4428,0,4096,1,0,0,0,0,7,587,0.000,0,1
13,daily_proc,warmup,1,0.184,0.076,0.115,4428,0,4096,1,0,0,0,0,7,588,0.000,0,1
14,daily_timer,warmup,1,2.389,0.128,0.194,4428,0,4096,1,0,0,0,0,7,589,0.000,0,1
15,daily_file,warmup,1,0.166,0.068,0.104,4428,0,4096,1,0,0,0,0,7,590,0.000,0,1
16,daily_hash,warmup,1,12.528,4.477,8.621,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
17,daily_http,warmup,1,1.108,0.391,0.592,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
18,daily_state,warmup,1,0.210,0.086,0.131,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
19,daily_ipc,warmup,1,0.649,0.000,0.611,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
20,daily_proc,warmup,1,0.237,0.000,0.244,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
21,daily_timer,warmup,1,2.420,0.000,0.350,4428,0,4096,1,0,0,0,0,7,591,0.000,0,1
22,novel_00,novel,1,0.215,0.000,0.222,4428,0,4096,5,0,0,2,1,8,725,1.000,1,1
23,novel_01,novel,1,0.841,0.000,0.741,4440,0,4096,5,0,0,1,1,8,761,1.000,1,1
24,novel_02,novel,1,11.772,1.894,10.590,4440,0,4096,4,0,0,1,1,8,777,1.000,1,1
25,novel_03,novel,1,0.409,0.423,0.000,4440,0,4096,3,0,0,1,1,8,785,1.000,1,1
26,novel_04,novel,1,0.886,0.605,0.104,4440,0,4096,5,0,0,1,1,8,803,1.000,1,1
27,novel_05,novel,1,0.755,0.319,0.430,4440,0,4096,5,0,0,1,1,8,837,1.000,1,1
28,novel_06,novel,1,2.565,0.288,0.387,4440,0,4096,3,0,0,1,1,8,853,1.000,1,1
29,novel_07,novel,1,1.235,0.472,0.635,4440,0,4096,5,0,0,1,1,8,877,1.000,1,1
30,novel_08,novel,1,0.594,0.257,0.345,4440,0,4096,3,0,0,1,1,8,889,1.000,1,1
31,novel_09,novel,1,1.061,1.060,0.000,4456,0,4096,5,0,0,1,1,8,901,1.000,1,1
32,novel_10,novel,1,11.190,11.698,0.000,4456,0,4096,4,0,0,1,1,8,913,1.000,1,1
33,novel_11,novel,1,1.043,1.057,0.000,4456,0,4096,3,0,0,1,1,8,925,1.000,1,1
34,novel_12,novel,1,1.537,1.529,0.000,4456,0,4096,5,0,0,1,1,8,937,1.000,1,1
35,novel_13,novel,1,1.409,1.398,0.000,4456,0,4096,5,0,0,1,1,8,949,1.000,1,1
36,novel_14,novel,1,3.489,1.456,0.000,4456,0,4096,3,0,0,1,1,8,961,1.000,1,1
37,novel_15,novel,1,3.013,3.012,0.000,4456,0,4096,5,0,0,1,1,8,973,1.000,1,1
38,novel_16,novel,1,1.901,1.909,0.000,4456,0,4096,3,0,0,2,2,8,1013,1.500,2,1
39,novel_17,novel,1,4.154,0.000,4.084,4468,0,4096,5,0,0,2,3,8,1105,1.333,2,1
40,novel_18,novel,1,19.349,14.828,5.560,4468,0,4096,4,0,0,2,4,8,1169,1.250,2,1
41,novel_19,novel,1,6.895,1.329,5.801,4468,0,4096,2,0,0,1,4,8,1181,1.250,2,1
42,novel_20,novel,1,7.442,7.436,0.000,4468,0,4096,5,0,0,2,5,8,1262,1.200,2,1
43,novel_21,novel,1,9.862,6.560,3.314,4468,0,4096,5,0,0,2,6,8,1351,1.167,2,1
44,novel_22,novel,1,12.515,9.507,1.088,4468,0,4096,3,0,0,1,6,8,1363,1.167,2,1
45,novel_23,novel,1,11.320,11.392,0.000,4472,0,4096,5,0,0,2,7,8,1452,1.143,2,1
46,novel_24,novel,1,12.687,12.695,0.000,4472,0,4096,2,0,0,1,7,8,1464,1.143,2,1
47,novel_25,novel,1,13.533,13.244,0.374,4484,0,4096,1,0,0,1,7,8,1476,1.143,2,1
