episode,task,phase,success,wall_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
48,novel_26,novel,1,31.865,24.189,12.325,4484,0,4096,2,0,0,1,7,8,1488,1.143,2,1
49,novel_27,novel,1,13.930,14.222,0.000,4484,0,4096,2,0,0,1,7,8,1500,1.143,2,1
50,novel_28,novel,1,14.475,14.457,0.040,4484,0,4096,1,0,0,1,7,8,1512,1.143,2,1
51,novel_29,novel,1,14.861,14.809,0.000,4484,0,4096,1,0,0,1,7,8,1524,1.143,2,1
52,novel_30,novel,1,17.049,15.024,0.000,4484,0,4096,3,0,0,2,8,8,1571,1.250,2,1
53,novel_31,novel,1,18.092,18.170,0.000,4484,0,4096,1,0,0,1,8,8,1583,1.250,2,1
54,novel_32,novel,1,18.057,18.068,0.000,4484,0,4096,2,0,0,1,8,8,1595,1.250,2,1
55,novel_33,novel,1,18.955,19.022,0.000,4496,0,4096,1,0,0,1,8,8,1607,1.250,2,1
56,novel_34,novel,1,31.597,22.007,11.233,4496,0,4096,2,0,0,1,8,8,1619,1.250,2,1
57,novel_35,novel,1,21.274,21.488,0.000,4496,0,4096,2,0,0,1,8,8,1631,1.250,2,1
58,novel_36,novel,1,21.431,21.496,0.000,4496,0,4096,1,0,0,1,8,8,1643,1.250,2,1
59,novel_37,novel,1,20.501,20.572,0.000,4496,0,4096,1,0,0,1,8,8,1655,1.250,2,1
60,novel_38,novel,1,40.268,36.396,1.694,4496,0,8192,1,0,0,1,8,8,1667,1.250,2,1
61,novel_39,novel,1,21.979,21.969,0.093,4496,0,4096,1,0,0,1,8,8,1679,1.250,2,1
62,novel_00,repeat,1,32.079,23.414,8.759,4496,0,4096,1,0,0,0,8,8,1679,1.250,2,1
63,novel_01,repeat,1,22.246,22.172,0.170,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
64,novel_02,repeat,1,33.226,24.415,9.401,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
65,novel_03,repeat,1,24.974,21.040,4.199,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
66,novel_04,repeat,1,30.294,29.281,0.966,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
67,novel_05,repeat,1,23.832,23.870,0.039,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
68,novel_06,repeat,1,22.958,21.001,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
69,novel_07,repeat,1,21.545,21.635,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
70,novel_08,repeat,1,20.720,17.225,3.635,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
71,novel_09,repeat,1,21.194,21.322,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
72,novel_10,repeat,1,32.728,33.353,0.080,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
73,novel_11,repeat,1,20.952,21.282,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
74,novel_12,repeat,1,21.564,21.628,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
75,novel_13,repeat,1,21.038,21.122,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
76,novel_14,repeat,1,23.076,21.274,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
77,novel_15,repeat,1,21.664,21.705,0.000,4504,0,4096,1,0,0,0,8,8,1679,1.250,2,1
78,daily_file,drift,1,21.590,21.330,0.000,4504,0,4096,1,0,1,2,9,8,1699,1.444,3,1
79,daily_http,drift,1,25.513,25.621,0.000,4508,0,4096,1,0,1,1,9,8,1701,1.444,3,1
80,daily_hash,drift,1,38.027,31.577,7.266,4508,0,4096,2,0,1,1,9,8,1712,1.444,3,1
81,daily_ipc,drift,1,26.564,26.773,0.144,4508,0,4096,1,0,1,1,9,8,1710,1.444,3,1
82,tail_0,evict,1,36.437,32.113,4.451,4508,0,4096,1,0,0,1,9,8,1721,1.444,3,1
83,tail_1,evict,1,31.654,31.265,0.513,4512,0,4096,1,0,0,1,9,8,1732,1.444,3,1
84,tail_2,evict,1,38.409,28.130,11.053,4512,0,4096,2,0,0,2,10,8,1755,1.500,3,1
85,tail_3,evict,1,30.294,30.555,0.000,4512,0,4096,2,0,0,2,11,8,1782,1.636,3,1
86,tail_4,evict,1,34.078,34.230,0.000,4512,0,4096,1,0,0,1,11,8,1785,1.636,3,1
87,tail_5,evict,1,41.693,41.987,0.000,4512,0,4096,1,0,0,1,11,8,1788,1.636,3,1
88,tail_6,evict,1,41.832,39.853,0.000,4512,0,4096,1,0,0,1,11,8,1792,1.636,3,1
89,tail_7,evict,1,36.429,36.552,0.000,4516,0,4096,1,0,0,1,11,8,1804,1.636,3,1
90,tail_8,evict,1,36.378,36.470,0.000,4516,0,4096,1,0,0,1,11,8,1814,1.636,3,1
91,tail_9,evict,1,38.054,38.266,0.000,4528,0,4096,1,0,0,1,11,8,1824,1.636,3,1
92,daily_http,ancestral,1,37.456,37.611,0.000,4528,0,4096,2,1,0,1,11,8,1841,1.636,3,1
93,daily_http,post_recovery,1,37.469,37.632,0.000,4528,0,4096,1,0,0,0,11,8,1841,1.636,3,1
94,daily_file,ancestral,1,37.415,37.098,0.000,4528,0,4096,2,1,0,1,11,8,1824,1.636,3,1
95,daily_file,post_recovery,1,36.981,37.151,0.000,4528,0,4096,1,0,0,0,11,8,1824,1.636,3,1
96,daily_hash,ancestral,1,51.160,39.633,12.734,4528,0,4096,2,1,0,1,11,8,1817,1.636,3,1
97,daily_hash,post_recovery,1,51.282,40.871,11.377,4528,0,4096,1,0,0,0,11,8,1817,1.636,3,1
98,daily_ipc,ancestral,1,37.193,37.492,0.000,4528,0,4096,4,1,0,1,11,8,1797,1.636,3,1
99,daily_ipc,post_recovery,1,39.810,39.906,0.000,4528,0,4096,1,0,0,0,11,8,1797,1.636,3,1
