phase,n,success_rate,semantic_mean,planner_ms_mean,executor_ms_mean,wall_ms_mean,derived_end,structure_bytes_end,recoveries,repairs
warmup,21,1,2.0476190476190474,0.020904761904761905,2.4286190476190477,2.449666666666667,0,591,0,0
novel,40,1,3.1,1.529925,2.6638,4.19385,8,1679,0,0
repeat,16,1,1,0.19675,2.96325,3.160125,8,1679,0,0
drift,4,1,1.25,4.0785,3.6165000000000003,7.694999999999999,9,1710,0,4
evict,10,1,1.2,5.7078,1.9295,7.6375,11,1824,0,0
ancestral,4,1,2.5,3.85025,4.6937500000000005,8.54425,11,1797,4,0
post_recovery,4,1,1,0.03925,3.5564999999999998,3.59575,11,1797,0,0
