episode,task,phase,success,wall_ms,planner_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
1,daily_file,warmup,1,0.184,0.045,0.139,0.138,0.136,4128,0,8192,4,0,0,1,0,1,92,0.000,0,1
2,daily_hash,warmup,1,11.782,0.016,11.766,0.000,12.575,4256,0,4096,4,0,0,1,0,2,169,0.000,0,1
3,daily_http,warmup,1,0.930,0.067,0.863,0.954,0.000,4300,0,4096,5,0,0,1,0,3,265,0.000,0,1
4,daily_state,warmup,1,0.061,0.012,0.048,0.075,0.000,4300,0,4096,4,0,0,1,0,4,346,0.000,0,1
5,daily_ipc,warmup,1,0.502,0.015,0.487,0.452,0.000,4304,0,4096,4,0,0,1,0,5,417,0.000,0,1
6,daily_proc,warmup,1,0.229,0.023,0.206,0.205,0.030,4328,0,4096,4,0,0,1,0,6,501,0.000,0,1
7,daily_timer,warmup,1,2.449,0.023,2.426,0.188,0.190,4392,0,4096,4,0,0,1,0,7,584,0.000,0,1
8,daily_file,warmup,1,0.087,0.003,0.084,0.047,0.047,4392,0,4096,1,0,0,0,0,7,584,0.000,0,1
9,daily_hash,warmup,1,12.589,0.002,12.587,4.816,8.427,4392,0,4096,1,0,0,0,0,7,584,0.000,0,1
10,daily_http,warmup,1,1.399,0.073,1.326,0.712,0.718,4404,0,4096,1,0,0,0,0,7,585,0.000,0,1
11,daily_state,warmup,1,0.183,0.035,0.148,0.095,0.095,4404,0,4096,1,0,0,0,0,7,586,0.000,0,1
12,daily_ipc,warmup,1,0.397,0.002,0.395,0.199,0.200,4404,0,4096,1,0,0,0,0,7,587,0.000,0,1
13,daily_proc,warmup,1,0.151,0.028,0.122,0.078,0.079,4404,0,4096,1,0,0,0,0,7,588,0.000,0,1
14,daily_timer,warmup,1,2.381,0.002,2.379,0.165,0.166,4404,0,4096,1,0,0,0,0,7,589,0.000,0,1
15,daily_file,warmup,1,0.183,0.003,0.180,0.095,0.095,4404,0,4096,1,0,0,0,0,7,590,0.000,0,1
16,daily_hash,warmup,1,12.374,0.002,12.372,1.108,12.247,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
17,daily_http,warmup,1,0.905,0.044,0.861,0.444,0.447,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
18,daily_state,warmup,1,0.148,0.035,0.113,0.077,0.078,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
19,daily_ipc,warmup,1,1.893,0.002,1.890,0.337,0.339,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
20,daily_proc,warmup,1,0.222,0.004,0.218,0.114,0.115,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
21,daily_timer,warmup,1,2.394,0.003,2.391,0.148,0.149,4404,0,4096,1,0,0,0,0,7,591,0.000,0,1
22,novel_00,novel,1,0.302,0.181,0.121,0.153,0.155,4404,0,4096,5,0,0,2,1,8,725,1.000,1,1
23,novel_01,novel,1,0.527,0.099,0.428,0.272,0.274,4412,0,4096,5,0,0,1,1,8,761,1.000,1,1
24,novel_02,novel,1,14.952,0.092,14.860,2.025,13.537,4412,0,4096,4,0,0,1,1,8,777,1.000,1,1
25,novel_03,novel,1,0.211,0.134,0.076,0.225,0.000,4412,0,4096,3,0,0,1,1,8,785,1.000,1,1
26,novel_04,novel,1,0.609,0.084,0.525,0.613,0.000,4412,0,4096,5,0,0,1,1,8,803,1.000,1,1
27,novel_05,novel,1,0.418,0.123,0.296,0.410,0.000,4412,0,4096,5,0,0,1,1,8,837,1.000,1,1
28,novel_06,novel,1,2.420,0.109,2.312,0.365,0.000,4412,0,4096,3,0,0,1,1,8,853,1.000,1,1
29,novel_07,novel,1,0.819,0.072,0.747,0.821,0.000,4416,0,4096,5,0,0,1,1,8,877,1.000,1,1
30,novel_08,novel,1,0.266,0.192,0.074,0.272,0.000,4416,0,4096,3,0,0,1,1,8,889,1.000,1,1
31,novel_09,novel,1,0.690,0.212,0.478,0.694,0.000,4432,0,4096,5,0,0,1,1,8,901,1.000,1,1
32,novel_10,novel,1,14.013,0.180,13.832,3.581,10.691,4432,0,4096,4,0,0,1,1,8,913,1.000,1,1
33,novel_11,novel,1,0.341,0.254,0.087,0.000,0.355,4432,0,4096,3,0,0,1,1,8,925,1.000,1,1
34,novel_12,novel,1,0.952,0.275,0.677,0.000,0.946,4432,0,4096,5,0,0,1,1,8,937,1.000,1,1
35,novel_13,novel,1,0.639,0.349,0.289,0.000,0.630,4432,0,4096,5,0,0,1,1,8,949,1.000,1,1
36,novel_14,novel,1,2.676,0.347,2.328,0.000,0.596,4432,0,4096,3,0,0,1,1,8,961,1.000,1,1
37,novel_15,novel,1,1.210,0.281,0.929,0.153,0.946,4432,0,4096,5,0,0,1,1,8,973,1.000,1,1
38,novel_16,novel,1,0.397,0.272,0.124,0.203,0.201,4432,0,4096,3,0,0,2,2,8,1013,1.500,2,1
39,novel_17,novel,1,1.333,0.638,0.695,0.000,1.249,4444,0,4096,5,0,0,2,3,8,1105,1.333,2,1
40,novel_18,novel,1,18.120,1.042,17.077,11.131,7.028,4444,0,4096,4,0,0,2,4,8,1169,1.250,2,1
41,novel_19,novel,1,1.083,0.985,0.097,0.000,1.281,4444,0,4096,2,0,0,1,4,8,1181,1.250,2,1
42,novel_20,novel,1,1.732,1.349,0.384,1.994,0.000,4444,0,4096,5,0,0,2,5,8,1262,1.200,2,1
43,novel_21,novel,1,2.452,1.976,0.475,2.446,0.000,4444,0,4096,5,0,0,2,6,8,1351,1.167,2,1
44,novel_22,novel,1,9.006,1.880,7.127,0.000,2.129,4444,0,4096,3,0,0,1,6,8,1363,1.167,2,1
45,novel_23,novel,1,3.489,2.144,1.344,0.428,2.490,4448,0,4096,5,0,0,2,7,8,1452,1.143,2,1
46,novel_24,novel,1,2.012,1.920,0.092,0.901,1.118,4448,0,4096,2,0,0,1,7,8,1464,1.143,2,1
47,novel_25,novel,1,3.316,2.708,0.608,3.329,0.000,4460,0,4096,1,0,0,1,7,8,1476,1.143,2,1
