episode,task,phase,success,wall_ms,planner_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
48,novel_26,novel,1,19.889,1.716,18.173,5.016,15.948,4460,0,4096,2,0,0,1,7,8,1488,1.143,2,1
49,novel_27,novel,1,2.823,2.699,0.124,2.847,0.000,4460,0,4096,2,0,0,1,7,8,1500,1.143,2,1
50,novel_28,novel,1,3.306,2.817,0.489,3.315,0.000,4460,0,4096,1,0,0,1,7,8,1512,1.143,2,1
51,novel_29,novel,1,3.276,2.914,0.363,3.271,0.000,4460,0,4096,1,0,0,1,7,8,1524,1.143,2,1
52,novel_30,novel,1,5.237,2.822,2.414,3.134,0.000,4460,0,4096,3,0,0,2,8,8,1571,1.250,2,1
53,novel_31,novel,1,4.430,3.441,0.988,4.248,0.000,4460,0,4096,1,0,0,1,8,8,1583,1.250,2,1
54,novel_32,novel,1,2.957,2.843,0.114,2.973,0.000,4460,0,4096,2,0,0,1,8,8,1595,1.250,2,1
55,novel_33,novel,1,4.224,3.587,0.637,4.242,0.000,4472,0,4096,1,0,0,1,8,8,1607,1.250,2,1
56,novel_34,novel,1,15.039,2.221,12.818,5.670,10.022,4472,0,4096,2,0,0,1,8,8,1619,1.250,2,1
57,novel_35,novel,1,3.079,2.935,0.144,1.790,1.303,4472,0,4096,2,0,0,1,8,8,1631,1.250,2,1
58,novel_36,novel,1,4.269,3.828,0.441,4.425,0.000,4472,0,4096,1,0,0,1,8,8,1643,1.250,2,1
59,novel_37,novel,1,4.247,3.834,0.414,1.860,2.366,4472,0,4096,1,0,0,1,8,8,1655,1.250,2,1
60,novel_38,novel,1,5.979,3.518,2.461,2.272,1.573,4472,0,8192,1,0,0,1,8,8,1667,1.250,2,1
61,novel_39,novel,1,5.014,4.124,0.890,5.051,0.032,4472,0,4096,1,0,0,1,8,8,1679,1.250,2,1
62,novel_00,repeat,1,0.212,0.027,0.185,0.133,0.085,4472,0,4096,1,0,0,0,8,8,1679,1.250,2,1
63,novel_01,repeat,1,1.811,0.023,1.788,0.427,0.275,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
64,novel_02,repeat,1,16.433,0.035,16.399,8.834,8.221,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
65,novel_03,repeat,1,0.389,0.236,0.153,0.247,0.159,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
66,novel_04,repeat,1,1.189,0.564,0.624,0.845,0.543,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
67,novel_05,repeat,1,1.975,1.622,0.353,2.310,0.000,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
68,novel_06,repeat,1,2.410,0.027,2.383,0.351,0.000,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
69,novel_07,repeat,1,0.672,0.030,0.642,0.718,0.000,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
70,novel_08,repeat,1,6.931,0.028,6.903,1.682,5.243,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
71,novel_09,repeat,1,0.763,0.031,0.731,0.000,0.679,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
72,novel_10,repeat,1,13.647,0.062,13.584,4.035,10.103,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
73,novel_11,repeat,1,0.393,0.261,0.132,0.000,0.408,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
74,novel_12,repeat,1,0.410,0.064,0.346,0.000,0.443,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
75,novel_13,repeat,1,0.296,0.054,0.242,0.000,0.303,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
76,novel_14,repeat,1,2.276,0.053,2.223,0.000,0.355,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
77,novel_15,repeat,1,0.755,0.031,0.724,0.091,0.664,4476,0,4096,1,0,0,0,8,8,1679,1.250,2,1
78,daily_file,drift,1,3.578,3.378,0.200,3.585,0.000,4476,0,4096,1,0,1,2,9,8,1699,1.444,3,1
79,daily_http,drift,1,5.650,4.911,0.739,3.075,2.513,4484,0,4096,1,0,1,1,9,8,1701,1.444,3,1
80,daily_hash,drift,1,16.537,3.407,13.130,5.509,11.999,4484,0,4096,2,0,1,1,9,8,1712,1.444,3,1
81,daily_ipc,drift,1,5.015,4.618,0.397,0.411,4.840,4484,0,4096,1,0,1,1,9,8,1710,1.444,3,1
82,tail_0,evict,1,3.597,3.482,0.115,3.604,0.000,4484,0,4096,1,0,0,1,9,8,1721,1.444,3,1
83,tail_1,evict,1,6.041,5.116,0.925,5.984,0.000,4488,0,4096,1,0,0,1,9,8,1732,1.444,3,1
84,tail_2,evict,1,16.019,3.229,12.789,10.098,6.849,4488,0,4096,2,0,0,2,10,8,1755,1.500,3,1
85,tail_3,evict,1,5.075,4.873,0.202,2.599,2.712,4488,0,4096,2,0,0,2,11,8,1782,1.636,3,1
86,tail_4,evict,1,7.368,6.914,0.454,7.376,0.000,4488,0,4096,1,0,0,1,11,8,1785,1.636,3,1
87,tail_5,evict,1,7.461,7.035,0.426,4.373,3.096,4488,0,4096,1,0,0,1,11,8,1788,1.636,3,1
88,tail_6,evict,1,8.746,6.354,2.391,5.830,0.870,4488,0,4096,1,0,0,1,11,8,1792,1.636,3,1
89,tail_7,evict,1,8.352,7.282,1.070,8.018,0.000,4492,0,4096,1,0,0,1,11,8,1804,1.636,3,1
90,tail_8,evict,1,5.391,5.233,0.158,5.410,0.000,4492,0,4096,1,0,0,1,11,8,1814,1.636,3,1
91,tail_9,evict,1,8.325,7.560,0.765,8.352,0.000,4504,0,4096,1,0,0,1,11,8,1824,1.636,3,1
92,daily_http,ancestral,1,5.180,4.576,0.604,2.478,2.729,4504,0,4096,2,1,0,1,11,8,1841,1.636,3,1
93,daily_http,post_recovery,1,0.381,0.034,0.347,0.243,0.144,4504,0,4096,1,0,0,0,11,8,1841,1.636,3,1
94,daily_file,ancestral,1,3.404,3.104,0.299,3.437,0.000,4504,0,4096,2,1,0,1,11,8,1824,1.636,3,1
95,daily_file,post_recovery,1,0.360,0.033,0.327,0.193,0.000,4504,0,4096,1,0,0,0,11,8,1824,1.636,3,1
96,daily_hash,ancestral,1,19.588,2.256,17.332,17.691,2.824,4504,0,4096,2,1,0,1,11,8,1817,1.636,3,1
97,daily_hash,post_recovery,1,13.405,0.049,13.356,4.994,8.756,4504,0,4096,1,0,0,0,11,8,1817,1.636,3,1
98,daily_ipc,ancestral,1,6.005,5.465,0.540,2.698,3.571,4504,0,4096,4,1,0,1,11,8,1797,1.636,3,1
99,daily_ipc,post_recovery,1,0.237,0.041,0.196,0.153,0.092,4504,0,4096,1,0,0,0,11,8,1797,1.636,3,1
