day,day_name,episodes,semantic_mean,first_seen,first_seen_semantic_mean,first_seen_one_decision_rate,planner_p95_ms,permanent_start,permanent_end,provisional_start,provisional_end,manual_minutes_modeled,attention_minutes_modeled,minutes_returned_modeled,attention_leverage
0,Mon Aug 24,10,1.3,10,1.3,0.8,0.455703,9,10,20,19,59,5.15,53.85,11.4563
1,Tue Aug 25,10,1.3,3,2,0,0.560041,9,11,20,19,60,2.11667,57.8833,28.3465
2,Wed Aug 26,10,1.2,3,1.66667,0.333333,0.43613,9,13,20,20,61,2.06667,58.9333,29.5161
3,Thu Aug 27,10,1,3,1,1,0.574906,9,13,20,20,62,1.96667,60.0333,31.5254
4,Fri Aug 28,10,1,3,1,1,0.607233,9,13,20,20,59,1.96667,57.0333,30
5,Sat Aug 29,4,1,1,1,1,0.33645,9,13,20,20,20,0.7,19.3,28.5714
6,Sun Aug 30,6,1,2,1,1,0.303006,9,13,20,20,34,1.26667,32.7333,26.8421
