name,definition,capability_expansion,root_expansion,depth,uniform
d001,transform.summarize > fs.write > notify.send,transform.summarize > fs.write > notify.send,DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,1,1
d002,transform.extract > d001,transform.extract > transform.summarize > fs.write > notify.send,DERIVE > DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,2,1
d003,http.request > transform.extract > transform.summarize > state.write > notify.send,http.request > transform.extract > transform.summarize > state.write > notify.send,DERIVE > COMMIT > OBSERVE > DERIVE > DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,1,1
d004,transform.extract > transform.summarize > fs.write,transform.extract > transform.summarize > fs.write,DERIVE > DERIVE > DERIVE > COMMIT,1,1
d005,fs.read > transform.summarize > ipc.request > state.write > notify.send,fs.read > transform.summarize > ipc.request > state.write > notify.send,OBSERVE > DERIVE > DERIVE > COMMIT > OBSERVE > DERIVE > COMMIT > DERIVE > COMMIT,1,1
d006,proc.observe > transform.extract > transform.summarize > ipc.request > fs.write,proc.observe > transform.extract > transform.summarize > ipc.request > fs.write,OBSERVE > DERIVE > DERIVE > DERIVE > COMMIT > OBSERVE > DERIVE > COMMIT,1,1
d007,http.request > transform.extract > ipc.request > transform.summarize > fs.write,http.request > transform.extract > ipc.request > transform.summarize > fs.write,DERIVE > COMMIT > OBSERVE > DERIVE > DERIVE > COMMIT > OBSERVE > DERIVE > DERIVE > COMMIT,1,1
d008,timer.observe > state.read > d001,timer.observe > state.read > transform.summarize > fs.write > notify.send,OBSERVE > OBSERVE > DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,2,1
d009,fs.read > d002,fs.read > transform.extract > transform.summarize > fs.write > notify.send,OBSERVE > DERIVE > DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,3,1
d010,process.run > d004,process.run > transform.extract > transform.summarize > fs.write,DERIVE > COMMIT > OBSERVE > DERIVE > DERIVE > DERIVE > COMMIT,2,1
d011,state.read > d002,state.read > transform.extract > transform.summarize > fs.write > notify.send,OBSERVE > DERIVE > DERIVE > DERIVE > COMMIT > DERIVE > COMMIT,3,1
