episode,task,phase,success,wall_ms,planner_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
85,tail_3,evict,1,5.136,4.897,0.239,4.969,0.448,4596,0,4096,2,0,0,2,11,8,1782,1.636,3,1
86,tail_4,evict,1,7.764,6.863,0.901,7.786,0.000,4596,0,4096,1,0,0,1,11,8,1785,1.636,3,1
87,tail_5,evict,1,8.015,7.463,0.552,8.092,0.000,4596,0,4096,1,0,0,1,11,8,1788,1.636,3,1
88,tail_6,evict,1,8.589,6.350,2.239,6.743,0.000,4596,0,4096,1,0,0,1,11,8,1792,1.636,3,1
89,tail_7,evict,1,10.884,7.129,3.755,7.936,1.972,4600,0,4096,1,0,0,1,11,8,1804,1.636,3,1
90,tail_8,evict,1,5.581,5.339,0.242,5.598,0.000,4600,0,4096,1,0,0,1,11,8,1814,1.636,3,1
91,tail_9,evict,1,8.313,7.411,0.901,5.121,3.284,4608,0,4096,1,0,0,1,11,8,1824,1.636,3,1
92,daily_http,ancestral,1,5.267,4.608,0.659,4.913,0.397,4608,0,4096,2,1,0,1,11,8,1841,1.636,3,1
93,daily_http,post_recovery,1,0.559,0.087,0.472,0.390,0.195,4608,0,4096,1,0,0,0,11,8,1841,1.636,3,1
94,daily_file,ancestral,1,3.599,3.299,0.300,3.625,0.000,4608,0,4096,2,1,0,1,11,8,1824,1.636,3,1
95,daily_file,post_recovery,1,0.174,0.035,0.138,0.160,0.026,4608,0,4096,1,0,0,0,11,8,1824,1.636,3,1
96,daily_hash,ancestral,1,18.065,2.394,15.671,15.176,4.404,4608,0,4096,2,1,0,1,11,8,1817,1.636,3,1
97,daily_hash,post_recovery,1,15.150,0.053,15.097,13.573,2.258,4608,0,4096,1,0,0,0,11,8,1817,1.636,3,1
98,daily_ipc,ancestral,1,6.942,6.208,0.734,5.702,1.677,4608,0,4096,4,1,0,1,11,8,1797,1.636,3,1
99,daily_ipc,post_recovery,1,0.661,0.039,0.622,0.160,0.077,4608,0,4096,1,0,0,0,11,8,1797,1.636,3,1
