episode,task,phase,success,wall_ms,planner_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform
1,daily_file,warmup,1,0.232,0.051,0.180,0.116,0.233,4260,0,8192,4,0,0,1,0,1,92,0.000,0,1
2,daily_hash,warmup,1,11.990,0.017,11.973,10.963,1.703,4388,0,4096,4,0,0,1,0,2,169,0.000,0,1
3,daily_http,warmup,1,1.097,0.083,1.014,0.000,1.119,4436,0,4096,5,0,0,1,0,3,265,0.000,0,1
4,daily_state,warmup,1,0.060,0.013,0.046,0.000,0.066,4436,0,4096,4,0,0,1,0,4,346,0.000,0,1
5,daily_ipc,warmup,1,0.645,0.015,0.630,0.000,0.595,4440,0,4096,4,0,0,1,0,5,417,0.000,0,1
6,daily_proc,warmup,1,0.118,0.025,0.093,0.000,0.128,4440,0,4096,4,0,0,1,0,6,501,0.000,0,1
7,daily_timer,warmup,1,2.384,0.022,2.362,0.000,0.409,4504,0,4096,4,0,0,1,0,7,584,0.000,0,1
8,daily_file,warmup,1,0.145,0.004,0.141,0.000,0.152,4504,0,4096,1,0,0,0,0,7,584,0.000,0,1
9,daily_hash,warmup,1,16.207,0.003,16.204,3.559,13.229,4504,0,4096,1,0,0,0,0,7,584,0.000,0,1
10,daily_http,warmup,1,1.026,0.071,0.955,0.119,1.100,4512,0,4096,1,0,0,0,0,7,585,0.000,0,1
11,daily_state,warmup,1,0.258,0.006,0.252,0.067,0.199,4512,0,4096,1,0,0,0,0,7,586,0.000,0,1
12,daily_ipc,warmup,1,0.326,0.003,0.323,0.076,0.227,4512,0,4096,1,0,0,0,0,7,587,0.000,0,1
13,daily_proc,warmup,1,0.146,0.003,0.142,0.038,0.114,4512,0,4096,1,0,0,0,0,7,588,0.000,0,1
14,daily_timer,warmup,1,2.227,0.002,2.225,0.067,0.198,4512,0,4096,1,0,0,0,0,7,589,0.000,0,1
15,daily_file,warmup,1,0.163,0.004,0.159,0.043,0.127,4512,0,4096,1,0,0,0,0,7,590,0.000,0,1
16,daily_hash,warmup,1,14.802,0.002,14.799,7.920,7.739,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
17,daily_http,warmup,1,1.082,0.070,1.013,0.000,1.096,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
18,daily_state,warmup,1,0.130,0.006,0.125,0.000,0.137,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
19,daily_ipc,warmup,1,0.410,0.003,0.407,0.000,0.397,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
20,daily_proc,warmup,1,0.099,0.003,0.096,0.000,0.105,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
21,daily_timer,warmup,1,2.322,0.002,2.320,0.000,0.301,4512,0,4096,1,0,0,0,0,7,591,0.000,0,1
22,novel_00,novel,1,0.858,0.713,0.144,0.000,0.866,4512,0,4096,5,0,0,2,1,8,725,1.000,1,1
23,novel_01,novel,1,0.734,0.100,0.634,0.000,0.750,4520,0,4096,5,0,0,1,1,8,761,1.000,1,1
24,novel_02,novel,1,12.606,0.064,12.542,3.934,9.168,4520,0,4096,4,0,0,1,1,8,777,1.000,1,1
25,novel_03,novel,1,0.236,0.155,0.081,0.050,0.199,4520,0,4096,3,0,0,1,1,8,785,1.000,1,1
26,novel_04,novel,1,0.578,0.085,0.493,0.114,0.453,4520,0,4096,5,0,0,1,1,8,803,1.000,1,1
27,novel_05,novel,1,0.495,0.196,0.299,0.000,0.474,4520,0,4096,5,0,0,1,1,8,837,1.000,1,1
28,novel_06,novel,1,2.387,0.108,2.279,0.000,0.356,4520,0,4096,3,0,0,1,1,8,853,1.000,1,1
29,novel_07,novel,1,0.916,0.075,0.841,0.000,1.025,4524,0,4096,5,0,0,1,1,8,877,1.000,1,1
30,novel_08,novel,1,0.425,0.327,0.098,0.432,0.000,4524,0,4096,3,0,0,1,1,8,889,1.000,1,1
31,novel_09,novel,1,0.762,0.320,0.441,0.767,0.000,4540,0,4096,5,0,0,1,1,8,901,1.000,1,1
32,novel_10,novel,1,11.799,0.187,11.612,1.825,10.504,4540,0,4096,4,0,0,1,1,8,913,1.000,1,1
33,novel_11,novel,1,0.385,0.307,0.078,0.177,0.222,4540,0,4096,3,0,0,1,1,8,925,1.000,1,1
34,novel_12,novel,1,0.818,0.262,0.556,0.180,0.552,4540,0,4096,5,0,0,1,1,8,937,1.000,1,1
35,novel_13,novel,1,0.594,0.294,0.300,0.144,0.441,4540,0,4096,5,0,0,1,1,8,949,1.000,1,1
36,novel_14,novel,1,2.533,0.238,2.295,0.115,0.351,4540,0,4096,3,0,0,1,1,8,961,1.000,1,1
37,novel_15,novel,1,1.240,0.278,0.962,0.301,0.925,4540,0,4096,5,0,0,1,1,8,973,1.000,1,1
38,novel_16,novel,1,0.400,0.270,0.131,0.101,0.307,4540,0,4096,3,0,0,2,2,8,1013,1.500,2,1
39,novel_17,novel,1,1.367,0.902,0.465,1.375,0.000,4552,0,4096,5,0,0,2,3,8,1105,1.333,2,1
40,novel_18,novel,1,14.593,0.909,13.684,7.086,8.282,4552,0,4096,4,0,0,2,4,8,1169,1.250,2,1
41,novel_19,novel,1,1.202,1.080,0.122,1.216,0.000,4552,0,4096,2,0,0,1,4,8,1181,1.250,2,1
42,novel_20,novel,1,1.885,1.257,0.628,1.810,0.000,4552,0,4096,5,0,0,2,5,8,1262,1.200,2,1
43,novel_21,novel,1,4.798,4.346,0.451,3.872,1.042,4552,0,4096,5,0,0,2,6,8,1351,1.167,2,1
44,novel_22,novel,1,4.142,1.823,2.319,2.072,0.000,4552,0,4096,3,0,0,1,6,8,1363,1.167,2,1
45,novel_23,novel,1,2.992,2.065,0.927,2.789,0.000,4556,0,4096,5,0,0,2,7,8,1452,1.143,2,1
46,novel_24,novel,1,2.473,2.351,0.123,2.481,0.000,4556,0,4096,2,0,0,1,7,8,1464,1.143,2,1
47,novel_25,novel,1,3.201,2.393,0.808,2.874,0.392,4568,0,4096,1,0,0,1,7,8,1476,1.143,2,1
48,novel_26,novel,1,20.022,3.696,16.326,7.080,13.762,4568,0,4096,2,0,0,1,7,8,1488,1.143,2,1
49,novel_27,novel,1,3.171,2.818,0.353,0.000,3.236,4568,0,4096,2,0,0,1,7,8,1500,1.143,2,1
50,novel_28,novel,1,4.798,3.972,0.826,3.815,0.993,4568,0,4096,1,0,0,1,7,8,1512,1.143,2,1
51,novel_29,novel,1,4.667,3.591,1.076,4.420,0.328,4568,0,4096,1,0,0,1,7,8,1524,1.143,2,1
52,novel_30,novel,1,6.030,3.448,2.581,1.829,2.219,4568,0,4096,3,0,0,2,8,8,1571,1.250,2,1
53,novel_31,novel,1,5.149,3.857,1.291,4.356,0.527,4568,0,4096,1,0,0,1,8,8,1583,1.250,2,1
54,novel_32,novel,1,3.237,3.069,0.168,3.245,0.000,4568,0,4096,2,0,0,1,8,8,1595,1.250,2,1
55,novel_33,novel,1,4.476,3.674,0.801,4.450,0.000,4576,0,4096,1,0,0,1,8,8,1607,1.250,2,1
56,novel_34,novel,1,18.378,2.199,16.179,9.794,9.297,4576,0,4096,2,0,0,1,8,8,1619,1.250,2,1
57,novel_35,novel,1,3.527,3.296,0.231,3.457,0.282,4576,0,4096,2,0,0,1,8,8,1631,1.250,2,1
58,novel_36,novel,1,4.629,3.751,0.878,2.160,2.438,4576,0,8192,1,0,0,1,8,8,1643,1.250,2,1
59,novel_37,novel,1,4.697,4.018,0.679,4.500,0.193,4576,0,4096,1,0,0,1,8,8,1655,1.250,2,1
60,novel_38,novel,1,5.909,3.466,2.443,3.816,0.000,4576,0,4096,1,0,0,1,8,8,1667,1.250,2,1
61,novel_39,novel,1,5.123,4.005,1.118,2.583,2.472,4576,0,4096,1,0,0,1,8,8,1679,1.250,2,1
62,novel_00,repeat,1,0.214,0.029,0.185,0.120,0.101,4576,0,4096,1,0,0,0,8,8,1679,1.250,2,1
63,novel_01,repeat,1,0.562,0.024,0.538,0.300,0.253,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
64,novel_02,repeat,1,13.537,0.027,13.510,5.147,8.963,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
65,novel_03,repeat,1,0.457,0.312,0.144,0.257,0.216,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
66,novel_04,repeat,1,1.350,0.026,1.324,1.324,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
67,novel_05,repeat,1,0.528,0.120,0.408,0.497,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
68,novel_06,repeat,1,2.204,0.032,2.172,0.334,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
69,novel_07,repeat,1,0.994,0.073,0.921,0.828,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
70,novel_08,repeat,1,0.515,0.085,0.429,0.526,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
71,novel_09,repeat,1,0.494,0.073,0.421,0.448,0.055,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
72,novel_10,repeat,1,17.012,0.027,16.985,8.890,8.725,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
73,novel_11,repeat,1,0.545,0.383,0.162,0.312,0.250,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
74,novel_12,repeat,1,0.873,0.082,0.790,0.000,0.869,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
75,novel_13,repeat,1,0.451,0.032,0.419,0.000,0.409,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
76,novel_14,repeat,1,2.480,0.027,2.453,0.000,0.571,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
77,novel_15,repeat,1,0.979,0.039,0.940,0.899,0.000,4584,0,4096,1,0,0,0,8,8,1679,1.250,2,1
78,daily_file,drift,1,3.514,3.237,0.277,2.156,1.368,4584,0,4096,1,0,1,2,9,8,1699,1.444,3,1
79,daily_http,drift,1,5.641,4.813,0.828,5.675,0.000,4592,0,4096,1,0,1,1,9,8,1701,1.444,3,1
80,daily_hash,drift,1,17.904,3.498,14.406,14.552,4.148,4592,0,4096,2,0,1,1,9,8,1712,1.444,3,1
81,daily_ipc,drift,1,8.195,7.547,0.647,7.950,0.415,4592,0,4096,1,0,1,1,9,8,1710,1.444,3,1
82,tail_0,evict,1,3.690,3.506,0.183,0.023,3.678,4592,0,4096,1,0,0,1,9,8,1721,1.444,3,1
83,tail_1,evict,1,6.872,5.830,1.041,6.867,0.000,4596,0,4096,1,0,0,1,9,8,1732,1.444,3,1
84,tail_2,evict,1,18.770,3.259,15.510,10.376,9.769,4596,0,4096,2,0,0,2,10,8,1755,1.500,3,1
