task,capabilities,root_ops,graph_bytes,bytecode_words,bytecode_bytes,block_id,task_ref_bytes,roundtrip,uniform
daily_file,4,6,49,6,12,0,2,1,1
daily_hash,4,8,53,8,16,1,2,1,1
daily_http,5,9,72,9,18,2,2,1,1
daily_ipc,4,7,49,7,14,3,2,1,1
daily_proc,4,5,60,5,10,4,2,1,1
daily_state,4,6,55,6,12,5,2,1,1
daily_timer,4,5,57,5,10,6,2,1,1
novel_00,5,7,67,7,14,7,2,1,1
novel_01,5,9,75,9,18,8,2,1,1
novel_02,4,7,59,7,14,9,2,1,1
novel_03,5,7,70,7,14,10,2,1,1
novel_04,5,9,64,9,18,11,2,1,1
novel_05,5,8,72,8,16,12,2,1,1
novel_06,5,7,66,7,14,13,2,1,1
novel_07,5,10,72,10,20,14,2,1,1
novel_08,5,7,67,7,14,7,2,1,1
novel_09,5,9,75,9,18,8,2,1,1
novel_10,4,7,59,7,14,9,2,1,1
novel_11,5,7,70,7,14,10,2,1,1
novel_12,5,9,64,9,18,11,2,1,1
novel_13,5,8,72,8,16,12,2,1,1
novel_14,5,7,66,7,14,13,2,1,1
novel_15,5,10,72,10,20,14,2,1,1
novel_16,5,7,67,7,14,7,2,1,1
novel_17,5,9,75,9,18,8,2,1,1
novel_18,4,7,59,7,14,9,2,1,1
novel_19,5,7,70,7,14,10,2,1,1
novel_20,5,9,64,9,18,11,2,1,1
novel_21,5,8,72,8,16,12,2,1,1
novel_22,5,7,66,7,14,13,2,1,1
novel_23,5,10,72,10,20,14,2,1,1
novel_24,5,7,67,7,14,7,2,1,1
novel_25,5,9,75,9,18,8,2,1,1
novel_26,4,7,59,7,14,9,2,1,1
novel_27,5,7,70,7,14,10,2,1,1
novel_28,5,9,64,9,18,11,2,1,1
novel_29,5,8,72,8,16,12,2,1,1
novel_30,5,7,66,7,14,13,2,1,1
novel_31,5,10,72,10,20,14,2,1,1
novel_32,5,7,67,7,14,7,2,1,1
novel_33,5,9,75,9,18,8,2,1,1
novel_34,4,7,59,7,14,9,2,1,1
novel_35,5,7,70,7,14,10,2,1,1
novel_36,5,9,64,9,18,11,2,1,1
novel_37,5,8,72,8,16,12,2,1,1
novel_38,5,7,66,7,14,13,2,1,1
novel_39,5,10,72,10,20,14,2,1,1
tail_0,5,7,67,7,14,7,2,1,1
tail_1,5,9,75,9,18,8,2,1,1
tail_2,4,7,59,7,14,9,2,1,1
tail_3,5,7,70,7,14,10,2,1,1
tail_4,5,9,64,9,18,11,2,1,1
tail_5,5,8,72,8,16,12,2,1,1
tail_6,5,7,66,7,14,13,2,1,1
tail_7,5,10,72,10,20,14,2,1,1
tail_8,5,7,67,7,14,7,2,1,1
tail_9,5,9,75,9,18,8,2,1,1
