task,graph_ok,bytecode_ok,block_ok,dense_ok,dense_block_ok,graph_ms,bytecode_ms,block_ms,dense_ms,dense_block_ms,uniform
daily_file,1,1,1,1,1,0.321516,0.066614,0.061235,0.06427,0.054956,0
daily_hash,1,1,1,1,1,14.971,14.5692,15.364,17.1577,18.5849,1
daily_http,1,1,1,1,1,4.6933,0.724047,0.762874,0.517571,0.591308,1
daily_state,1,1,1,1,1,0.058397,0.03854,0.100471,0.038519,0.032303,0
daily_ipc,1,1,1,1,1,0.297987,0.83967,0.285384,0.587762,0.263835,1
daily_proc,1,1,1,1,1,0.122672,0.06903,0.064694,0.124549,0.064718,1
daily_timer,1,1,1,1,1,2.52966,2.24916,2.23839,2.34531,2.23521,1
novel_00,1,1,1,1,1,0.201062,0.152278,0.06084,0.05756,0.053834,1
novel_01,1,1,1,1,1,0.884148,0.418744,0.401159,0.33575,0.297156,1
novel_02,1,1,1,1,1,17.5814,18.4688,14.5592,14.5087,14.4954,1
novel_03,1,1,1,1,1,0.16476,0.056358,0.091709,0.10011,0.112463,1
novel_04,1,1,1,1,1,0.579861,0.417806,0.230493,0.302423,0.218943,1
