episode,phase,semantic,derived,structure_bytes,avg_depth,recovery,local_repair
1,warmup,4,0,464,0.0,0,0
2,warmup,4,0,555,0.0,0,0
3,warmup,5,0,663,0.0,0,0
4,warmup,4,0,758,0.0,0,0
5,warmup,1,0,758,0.0,0,0
6,warmup,1,0,758,0.0,0,0
7,warmup,1,0,758,0.0,0,0
8,warmup,1,0,758,0.0,0,0
9,warmup,1,0,758,0.0,0,0
10,warmup,1,0,759,0.0,0,0
11,warmup,1,0,760,0.0,0,0
12,warmup,1,0,761,0.0,0,0
13,novel,5,1,920,1.0,0,0
14,novel,5,1,1028,1.0,0,0
15,novel,4,1,1122,1.0,0,0
16,novel,3,1,1157,1.0,0,0
17,novel,4,1,1168,1.0,0,0
18,novel,3,1,1179,1.0,0,0
19,novel,5,2,1267,1.0,0,0
20,novel,4,2,1271,1.0,0,0
21,novel,3,2,1284,1.0,0,0
22,novel,2,2,1291,1.0,0,0
23,novel,3,3,1338,1.3333333333333333,0,0
24,novel,3,3,1373,1.3333333333333333,0,0
25,novel,4,4,1453,1.25,0,0
26,novel,2,4,1466,1.25,0,0
27,novel,2,4,1473,1.25,0,0
28,novel,2,4,1484,1.25,0,0
29,novel,3,5,1566,1.4,0,0
30,novel,1,5,1570,1.4,0,0
31,novel,2,5,1583,1.4,0,0
32,novel,2,5,1590,1.4,0,0
33,novel,2,5,1601,1.4,0,0
34,novel,1,5,1636,1.4,0,0
35,novel,1,5,1640,1.4,0,0
36,novel,2,5,1653,1.4,0,0
37,novel,2,5,1660,1.4,0,0
38,repeat,1,5,1657,1.4,0,0
39,repeat,1,5,1678,1.4,0,0
40,repeat,1,5,1668,1.4,0,0
41,repeat,1,5,1667,1.4,0,0
42,repeat,1,5,1660,1.4,0,0
43,repeat,1,5,1657,1.4,0,0
44,repeat,1,5,1678,1.4,0,0
45,repeat,1,5,1668,1.4,0,0
46,repeat,1,5,1667,1.4,0,0
47,repeat,1,5,1660,1.4,0,0
48,repeat,1,5,1657,1.4,0,0
49,repeat,1,5,1678,1.4,0,0
50,drift,1,6,1707,1.6666666666666667,0,1
51,drift,1,6,1709,1.6666666666666667,0,1
52,drift,1,6,1708,1.6666666666666667,0,1
53,evict,1,6,1715,1.6666666666666667,0,0
54,evict,1,6,1746,1.6666666666666667,0,0
55,evict,1,6,1746,1.6666666666666667,0,0
56,evict,2,7,1784,1.8571428571428572,0,0
57,evict,2,8,1801,1.875,0,0
58,evict,1,8,1805,1.875,0,0
59,evict,1,8,1830,1.875,0,0
60,ancestral,2,8,1835,1.875,1,0
61,post_recovery,1,8,1835,1.875,0,0
62,ancestral,2,8,1815,1.875,1,0
63,post_recovery,1,8,1815,1.875,0,0
64,ancestral,2,8,1813,1.875,1,0
65,post_recovery,1,8,1813,1.875,0,0
