episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
34,novel_21,novel,1,,16.725,15.811,0.132,115912,0,4096,1,0,0,1,5,7,1636,1.4,2,1,0,0,0
35,novel_22,novel,1,,23.479,16.017,9.422,231824,0,4096,1,0,0,1,5,7,1640,1.4,2,1,0,0,0
36,novel_23,novel,1,,13.949,9.505,0.474,115920,0,4096,2,0,0,1,5,7,1653,1.4,2,1,0,0,0
37,novel_24,novel,1,,14.27,7.378,3.053,115924,0,4096,2,0,0,1,5,7,1660,1.4,2,1,0,0,0
38,novel_00,repeat,1,,15.102,11.311,0.017,115924,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
39,novel_01,repeat,1,,16.645,12.841,0.961,115932,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
40,novel_02,repeat,1,,34.682,14.466,14.306,118740,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
41,novel_03,repeat,1,,15.071,8.833,2.624,115948,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
42,novel_04,repeat,1,,15.128,8.323,3.047,115948,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
43,novel_05,repeat,1,,15.015,10.541,0.573,115948,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
44,novel_06,repeat,1,,19.359,9.819,4.734,115948,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
45,novel_07,repeat,1,,25.784,17.079,7.432,117940,0,4096,1,0,0,0,5,7,1668,1.4,2,1,0,0,0
46,novel_08,repeat,1,,14.089,6.771,3.578,115956,0,4096,1,0,0,0,5,7,1667,1.4,2,1,0,0,0
47,novel_09,repeat,1,,14.758,7.159,3.921,115956,0,4096,1,0,0,0,5,7,1660,1.4,2,1,0,0,0
48,novel_10,repeat,1,,15.3,7.51,4.118,115960,0,4096,1,0,0,0,5,7,1657,1.4,2,1,0,0,0
49,novel_11,repeat,1,,19.235,11.925,4.705,115964,0,4096,1,0,0,0,5,7,1678,1.4,2,1,0,0,0
50,daily_file,drift,1,,18.417,8.39,6.347,115968,0,4096,1,0,1,2,6,7,1707,1.667,3,1,0,0,0
51,daily_http,drift,1,,17.369,8.408,6.365,115968,0,4096,1,0,1,1,6,7,1709,1.667,3,1,0,0,0
52,daily_hash,drift,1,,26.422,16.45,10.122,118156,0,4096,1,0,1,1,6,7,1708,1.667,3,1,0,0,0
53,tail_0,evict,1,,16.535,11.18,1.595,115976,0,4096,1,0,0,1,6,7,1715,1.667,3,1,0,0,0
54,tail_1,evict,1,,25.496,11.391,7.443,115976,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
55,tail_2,evict,1,,26.227,21.154,3.894,117864,0,4096,1,0,0,1,6,7,1746,1.667,3,1,0,0,0
56,tail_3,evict,1,,18.221,12.539,2.279,115980,0,4096,2,0,0,2,7,7,1784,1.857,3,1,0,0,0
57,tail_4,evict,1,,37.292,25.642,8.202,115984,0,8192,2,0,0,2,8,7,1801,1.875,3,1,0,0,0
58,tail_5,evict,1,,21.534,15.105,2.662,115984,0,4096,1,0,0,1,8,7,1805,1.875,3,1,0,0,0
59,tail_6,evict,1,,34.034,18.304,3.506,115992,0,4096,1,0,0,1,8,7,1830,1.875,3,1,0,0,0
60,daily_http,ancestral,1,,23.786,16.92,3.842,115992,0,4096,2,1,0,1,8,7,1835,1.875,3,1,0,0,0
61,daily_http,post_recovery,1,,24.496,20.381,0.293,115992,0,4096,1,0,0,0,8,7,1835,1.875,3,1,0,0,0
62,daily_file,ancestral,1,,20.914,15.393,1.927,115996,0,4096,2,1,0,1,8,7,1815,1.875,3,1,0,0,0
63,daily_file,post_recovery,1,,21.749,12.295,5.621,115996,0,4096,1,0,0,0,8,7,1815,1.875,3,1,0,0,0
64,daily_hash,ancestral,1,,32.788,19.746,13.676,117872,0,4096,2,1,0,1,8,7,1813,1.875,3,1,0,0,0
65,daily_hash,post_recovery,1,,40.587,28.571,11.219,118320,0,4096,1,0,0,0,8,7,1813,1.875,3,1,0,0,0
